scenario_id,RI,algorithm_id,failure_reason,replan_count,success,travel_time,hazard_exposure,hazard_score,steps,distance,runtime
la_trinidad_mini_000010,RI1,NNA-AStar-Blind,,0,1.0,27.362098238902995,3235.8417672194964,7382.175829420967,55.0,9169.098257573924,2.6163000147789717
la_trinidad_mini_000011,RI1,NNA-AStar-Blind,,0,1.0,14.852524231678863,1659.619361834492,3848.6501706783897,35.0,5056.36130354987,2.7350999880582094
la_trinidad_mini_000012,RI1,NNA-AStar-Blind,,0,1.0,26.841652703276758,2933.0741172647945,6635.3423289532075,59.0,9297.905606063472,3.7700000102631748
la_trinidad_mini_000013,RI1,NNA-AStar-Blind,,0,1.0,27.63458293629268,4145.447176453618,9141.984787379368,42.0,8417.261586367875,4.025700036436319
la_trinidad_mini_000014,RI1,NNA-AStar-Blind,,0,1.0,20.928312887466255,2972.9528264473215,6179.715653090003,36.0,6746.44923056414,4.547800053842366
la_trinidad_mini_000015,RI1,NNA-AStar-Blind,,0,1.0,25.76528567578092,3005.907065200437,6742.485298296806,49.0,8738.44161846863,4.070500028319657
la_trinidad_mini_000016,RI1,NNA-AStar-Blind,,0,1.0,20.429633721106857,2154.1505865418826,4995.167546141339,51.0,7104.3440758495535,5.143699992913753
la_trinidad_mini_000017,RI1,NNA-AStar-Blind,,0,1.0,28.443911264007056,3395.635128799816,7593.7332932295085,50.0,9571.771647468562,3.9340999792329967
la_trinidad_mini_000018,RI1,NNA-AStar-Blind,,0,1.0,29.522060840064583,4017.1472667949183,8728.365025214716,63.0,9511.186082222994,3.919999988283962
la_trinidad_mini_000019,RI1,NNA-AStar-Blind,,0,1.0,34.38269039980409,4998.633431774639,11148.373978244228,41.0,10585.67749878581,3.2312999828718603
la_trinidad_mini_000020,RI2,NNA-AStar-Blind,,0,1.0,24.989478796839638,2258.321250416878,5263.898273379314,63.0,8613.316321888178,3.7238000077195466
la_trinidad_mini_000021,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.2878000056371093
la_trinidad_mini_000022,RI2,NNA-AStar-Blind,,0,1.0,13.91444418169493,1368.5485400250564,3129.1761093947994,42.0,4696.911827065319,3.6373999901115894
la_trinidad_mini_000023,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.917600028216839
la_trinidad_mini_000024,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,6.202400021720678
la_trinidad_mini_000025,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,5.15739998081699
la_trinidad_mini_000026,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,5.1324000232852995
la_trinidad_mini_000027,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,1.9177999929524958
la_trinidad_mini_000028,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,5.682400020305067
la_trinidad_mini_000029,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,1.7649999936111271
