algorithm_id,bucket,n,success_mean,success_stdev,success_min,success_max,travel_time_mean,travel_time_stdev,travel_time_min,travel_time_max,hazard_exposure_mean,hazard_exposure_stdev,hazard_exposure_min,hazard_exposure_max,hazard_score_mean,hazard_score_stdev,hazard_score_min,hazard_score_max,steps_mean,steps_stdev,steps_min,steps_max,distance_mean,distance_stdev,distance_min,distance_max,runtime_mean,runtime_stdev,runtime_min,runtime_max,robustness_success,robustness_travel_time,robustness_hazard_exposure,robustness_hazard_score,robustness_steps,robustness_distance,robustness_runtime,failure_counts
NNA-AStar-Blind,RI3,20,0.85,0.3570714214271425,0.0,1.0,16.14235196675844,4.295156205819441,7.530432339206082,23.838694186797813,1316.8698707747346,429.7268394926596,500.8763686757913,2107.0477663525526,3169.214060595062,1056.6820135205835,1209.40412698169,5175.169628557199,38.8235294117647,7.7096982020557725,25.0,49.0,5275.892555574806,1309.9705329518624,2595.73168067174,7607.851537543183,2.6208650087937713,0.5763673427452592,1.7460999661125243,3.6800000234507024,,,,,,,,
NNA-AStar-Blind,RI4,20,0.95,0.21794494717703367,0.0,1.0,24.354762660904694,6.75440299832766,11.853254304779128,33.759268733339546,789.7808691646309,232.99407272747746,327.5925757379102,1124.4364560887918,1868.9096539515706,553.6040169804785,800.9367310040543,2688.6524683142043,35.94736842105263,7.789829294869901,23.0,48.0,3936.497705205153,1077.2464710337406,1970.1824954537983,5407.527512510807,2.0520350022707134,0.5134996020013354,1.0938000050373375,2.916499972343445,,,,,,,,
NNA-AStar-Blind,RI5,20,1.0,0.0,1.0,1.0,5.406815785045448,1.1095897342146184,2.9328204186162976,7.104239877698635,51.652994910793964,11.054902438278832,24.83701630122347,65.35316395250251,103.23942215599834,23.385496126143416,55.373325696343066,136.86598003094892,10.3,1.6155494421403511,8.0,13.0,489.06186742654575,100.91602254850305,265.5953790134582,646.7416554859303,0.5386799923144281,0.07251510539533403,0.471399980597198,0.7914999732747674,,,,,,,,
NNA-AStar-Blind,all,100,0.81,0.3923009049186606,0.0,1.0,18.254315132193145,9.617082694964427,2.9328204186162976,38.25316253484455,1414.687321401723,1329.7866953841205,24.83701630122347,5172.672778855267,3238.398930047099,2958.768381626906,55.373325696343066,11595.77394894522,34.27160493827161,16.137535682934995,8.0,63.0,4746.917894290665,3252.447194695736,265.5953790134582,12578.348011178978,2.4537700013024732,1.3429321607802618,0.471399980597198,6.202400021720678,0.6477693180817998,0.5951221515852646,0.24595676099429586,0.2712080933997072,0.6113626239228049,0.445894580490382,0.5473458481456177,blocked=19
NNA-AStar,RI1,20,1.0,0.0,1.0,1.0,26.697630641247372,5.799140535400767,14.852524231678863,38.25316253484455,3343.847332394854,958.204184686402,1659.619361834492,5172.672778855267,7445.857952412497,2096.30130303472,3848.6501706783897,11595.77394894522,48.95,7.838845578272352,33.0,63.0,8824.957425180017,1754.5524670198656,5056.36130354987,12578.348011178978,3.543259989237413,0.5390603697109803,2.6698000147007406,4.702399950474501,,,,,,,,
NNA-AStar,RI2,20,1.0,0.0,1.0,1.0,34.331462704041805,12.009789941801047,13.91444418169493,55.65523802955519,3903.4053402594386,1620.8832745553145,1368.5485400250564,6779.168442979079,8916.313671657863,3622.0470534590504,3129.1761093947994,15440.852334597063,63.1,15.575300960174092,42.0,91.0,10991.00138098988,3640.9821853719345,4696.911827065319,17324.430946001306,3.439129999605939,1.0571032565457863,1.9153000321239233,5.954600055702031,,,,,,,,
NNA-AStar,RI3,20,1.0,0.0,1.0,1.0,18.555831176290766,6.982622669895293,7.530432339206082,33.156077219021746,1529.9723003832332,649.0628560187563,500.8763686757913,2972.3305365853894,3687.351127054143,1585.673790737416,1209.40412698169,7224.529220311987,43.05,12.49189737389801,25.0,73.0,6042.552686396504,2188.9108740062,2595.73168067174,10479.068207928247,2.0867999992333353,0.4858544948172647,1.2102999608032405,3.1137000187300146,,,,,,,,
NNA-AStar,RI4,20,1.0,0.0,1.0,1.0,24.395292055418782,6.585747632213119,11.853254304779128,33.759268733339546,791.3844136673872,227.20207255723764,327.5925757379102,1124.4364560887918,1870.67406907248,539.6412579572979,800.9367310040543,2688.6524683142043,35.85,7.604439492822597,23.0,48.0,3943.7213765475162,1050.4420062585568,1970.1824954537983,5407.527512510807,2.4595849972683936,0.6983393651160297,1.089200028218329,3.5105000133626163,,,,,,,,
NNA-AStar,RI5,20,1.0,0.0,1.0,1.0,5.406815785045448,1.1095897342146184,2.9328204186162976,7.104239877698635,51.652994910793964,11.054902438278832,24.83701630122347,65.35316395250251,103.23942215599834,23.385496126143416,55.373325696343066,136.86598003094892,10.3,1.6155494421403511,8.0,13.0,489.06186742654575,100.91602254850305,265.5953790134582,646.7416554859303,0.4442749952431768,0.07448536986109405,0.32379996264353395,0.5518000107258558,,,,,,,,
NNA-AStar,all,100,1.0,0.0,1.0,1.0,21.877406472408833,12.150855208628144,2.9328204186162976,55.65523802955519,1924.0524763231415,1726.0483521333958,24.83701630122347,6779.168442979079,4404.6872484705955,3882.307676879862,55.373325696343066,15440.852334597063,40.25,20.211568469567126,8.0,91.0,6058.2589473080925,4235.898705683084,265.5953790134582,17324.430946001306,2.3946099961176515,1.300040623326401,0.32379996264353395,5.954600055702031,1.0,0.558253173213594,0.23340136133950007,0.24673810897496196,0.5665304654858037,0.3936330478298252,0.530749459716936,
NNA-Dijkstra-Blind,RI1,20,1.0,0.0,1.0,1.0,26.697630641247372,5.799140535400767,14.852524231678863,38.25316253484455,3343.847332394854,958.204184686402,1659.619361834492,5172.672778855267,7445.857952412497,2096.30130303472,3848.6501706783897,11595.77394894522,48.95,7.838845578272352,33.0,63.0,8824.957425180017,1754.5524670198656,5056.36130354987,12578.348011178978,5.560514994431287,1.2427981696443657,3.9019000250846148,8.13109998125583,,,,,,,,
NNA-Dijkstra-Blind,RI2,20,0.25,0.4330127018922193,0.0,1.0,19.87002463794114,4.2651496850468416,13.91444418169493,24.989478796839638,1857.408434025625,330.4262039144803,1368.5485400250564,2258.321250416878,4388.488677449844,827.7182471541513,3129.1761093947994,5337.700651026623,49.6,7.310266752998826,42.0,63.0,6747.26674834859,1511.2905280658865,4696.911827065319,8613.316321888178,3.3114600053522736,1.4632021068662107,0.8449000306427479,7.7621000236831605,,,,,,,,
NNA-Dijkstra-Blind,RI3,20,0.85,0.3570714214271425,0.0,1.0,16.14235196675844,4.295156205819441,7.530432339206082,23.838694186797813,1316.8698707747346,429.7268394926596,500.8763686757913,2107.0477663525526,3169.214060595062,1056.6820135205835,1209.40412698169,5175.169628557199,38.8235294117647,7.7096982020557725,25.0,49.0,5275.892555574806,1309.9705329518624,2595.73168067174,7607.851537543183,3.7423400150146335,1.0398881007678071,2.3253000108525157,6.306099996436387,,,,,,,,
NNA-Dijkstra-Blind,RI4,20,0.95,0.21794494717703367,0.0,1.0,24.354762660904694,6.75440299832766,11.853254304779128,33.759268733339546,789.7808691646309,232.99407272747746,327.5925757379102,1124.4364560887918,1868.9096539515706,553.6040169804785,800.9367310040543,2688.6524683142043,35.94736842105263,7.789829294869901,23.0,48.0,3936.497705205153,1077.2464710337406,1970.1824954537983,5407.527512510807,2.014699994469993,0.4656833686339907,1.0642999550327659,2.9870999860577285,,,,,,,,
